time_display,time_raw,src_host,src_port,dst_host,dst_port,sniffed,target_domain,ip,network,outbound,dialer,policy,dscp,mac,pid,pname,app,raw_line
2026-01-22 01:17:18,Jan 21 17:17:18,192.168.100.110,48256,149.154.171.255,80,149.154.171.255,149.154.171.255,149.154.171.255:80,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:18"" level=info msg=""192.168.100.110:48256 <-> 149.154.171.255:80"" dialer=HK-3 dscp=0 ip=""149.154.171.255:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed=149.154.171.255"
2026-01-22 01:17:18,Jan 21 17:17:18,192.168.100.110,48270,149.154.171.255,80,149.154.171.255,149.154.171.255,149.154.171.255:80,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:18"" level=info msg=""192.168.100.110:48270 <-> 149.154.171.255:80"" dialer=HK-3 dscp=0 ip=""149.154.171.255:80"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed=149.154.171.255"
2026-01-22 01:17:18,Jan 21 17:17:18,192.168.100.110,56832,149.154.171.255,443,,149.154.171.255,149.154.171.255:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:18"" level=info msg=""192.168.100.110:56832 <-> 149.154.171.255:443"" dialer=HK-3 dscp=0 ip=""149.154.171.255:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:18,Jan 21 17:17:18,192.168.100.110,56842,149.154.171.255,443,,149.154.171.255,149.154.171.255:443,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:18"" level=info msg=""192.168.100.110:56842 <-> 149.154.171.255:443"" dialer=HK-3 dscp=0 ip=""149.154.171.255:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
2026-01-22 01:17:19,Jan 21 17:17:19,192.168.100.110,45568,20.205.243.166,22,,20.205.243.166,20.205.243.166:22,tcp4,proxy,sing-box-10000,fixed,46,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:19"" level=info msg=""192.168.100.110:45568 <-> 20.205.243.166:22"" dialer=sing-box-10000 dscp=46 ip=""20.205.243.166:22"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:17:22,Jan 21 17:17:22,192.168.100.110,45570,20.205.243.166,22,,20.205.243.166,20.205.243.166:22,tcp4,proxy,sing-box-10000,fixed,46,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:22"" level=info msg=""192.168.100.110:45570 <-> 20.205.243.166:22"" dialer=sing-box-10000 dscp=46 ip=""20.205.243.166:22"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:17:27,Jan 21 17:17:27,192.168.100.110,44888,142.248.150.166,443,,142.248.150.166,142.248.150.166:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:27"" level=info msg=""192.168.100.110:44888 <-> 142.248.150.166:443"" dialer=sing-box-10000 dscp=0 ip=""142.248.150.166:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:17:27,Jan 21 17:17:27,192.168.100.110,49210,217.217.33.20,443,,217.217.33.20,217.217.33.20:443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:27"" level=info msg=""192.168.100.110:49210 <-> 217.217.33.20:443"" dialer=sing-box-10000 dscp=0 ip=""217.217.33.20:443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:17:27,Jan 21 17:17:27,192.168.100.110,58288,45.249.245.247,5443,,45.249.245.247,45.249.245.247:5443,tcp4,proxy,sing-box-10000,fixed,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:27"" level=info msg=""192.168.100.110:58288 <-> 45.249.245.247:5443"" dialer=sing-box-10000 dscp=0 ip=""45.249.245.247:5443"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=proxy pid=0 pname= policy=fixed sniffed="
2026-01-22 01:17:30,Jan 21 17:17:30,192.168.100.110,47770,91.108.56.115,5222,,91.108.56.115,91.108.56.115:5222,tcp4,fast,HK-3,min_avg10,0,94:83:c4:ab:9e:b4,0,,Other,"time=""Jan 21 17:17:30"" level=info msg=""192.168.100.110:47770 <-> 91.108.56.115:5222"" dialer=HK-3 dscp=0 ip=""91.108.56.115:5222"" mac=""94:83:c4:ab:9e:b4"" network=tcp4 outbound=fast pid=0 pname= policy=min_avg10 sniffed="
